,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,Are & Be,Gonna Love Me,Teyana Taylor,166997,73,2.56e-05,../../Data_Files/Song_Lyrics/are_and_be/GonnaLoveMe_TeyanaTaylor.txt
1,Are & Be,Feels Like Summer,Childish Gambino,297404,78,0.0048200000000000005,../../Data_Files/Song_Lyrics/are_and_be/FeelsLikeSummer_ChildishGambino.txt
2,Are & Be,Call Out My Name,The Weeknd,228373,84,0.0,../../Data_Files/Song_Lyrics/are_and_be/CallOutMyName_TheWeeknd.txt
3,Are & Be,Trip,Ella Mai,217118,78,0.0,../../Data_Files/Song_Lyrics/are_and_be/Trip_EllaMai.txt
4,Are & Be,Love Lies (with Normani),Khalid,201707,87,0.0,../../Data_Files/Song_Lyrics/are_and_be/LoveLieswithNormani_Khalid.txt
5,Are & Be,In My Feelings,Drake,217933,83,0.0144,../../Data_Files/Song_Lyrics/are_and_be/InMyFeelings_Drake.txt
6,Are & Be,Know Myself,Justine Skye,167493,70,0.0009310000000000001,../../Data_Files/Song_Lyrics/are_and_be/KnowMyself_JustineSkye.txt
7,Are & Be,The Light,MihTy,179653,73,8.149999999999999e-05,../../Data_Files/Song_Lyrics/are_and_be/TheLight_MihTy.txt
8,Are & Be,Could've Been (feat. Bryson Tiller),H.E.R.,248466,75,7.000000000000001e-06,../../Data_Files/Song_Lyrics/are_and_be/CouldveBeenfeatBrysonTiller_HER.txt
9,Are & Be,CPR,Summer Walker,203142,66,8.47e-05,../../Data_Files/Song_Lyrics/are_and_be/CPR_SummerWalker.txt
10,Are & Be,Wanna Be,The Internet,267400,66,0.0374,../../Data_Files/Song_Lyrics/are_and_be/WannaBe_TheInternet.txt
11,Are & Be,Easy,Next Town Down,182800,65,0.0,../../Data_Files/Song_Lyrics/are_and_be/Easy_NextTownDown.txt
12,Are & Be,Boo'd Up,Ella Mai,256063,84,0.0,../../Data_Files/Song_Lyrics/are_and_be/BoodUp_EllaMai.txt
13,Are & Be,After Dark,Drake,289560,69,0.0,../../Data_Files/Song_Lyrics/are_and_be/AfterDark_Drake.txt
14,Are & Be,Come Through and Chill,Miguel,322000,61,0.0,../../Data_Files/Song_Lyrics/are_and_be/ComeThroughandChill_Miguel.txt
15,Are & Be,OTW,Khalid,263013,86,3.26e-05,../../Data_Files/Song_Lyrics/are_and_be/OTW_Khalid.txt
16,Are & Be,SUMMER,The Carters,285200,61,1.75e-05,../../Data_Files/Song_Lyrics/are_and_be/SUMMER_TheCarters.txt
17,Are & Be,Lady Lady,Masego,158000,65,6.47e-06,../../Data_Files/Song_Lyrics/are_and_be/LadyLady_Masego.txt
18,Are & Be,All I Know,DaniLeigh,163746,65,0.0,../../Data_Files/Song_Lyrics/are_and_be/AllIKnow_DaniLeigh.txt
19,Are & Be,Switch,6LACK,207080,76,0.00801,../../Data_Files/Song_Lyrics/are_and_be/Switch_6LACK.txt
20,Are & Be,Pony - Recorded at Spotify Studios NYC,Leon Bridges,256893,66,0.000192,../../Data_Files/Song_Lyrics/are_and_be/PonyRecordedatSpotifyStudiosNYC_LeonBridges.txt
