,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path,compound,negative,neutral,positive
0,Are & Be,Gonna Love Me,Teyana Taylor,166997,73,2.56e-05,../../Data_Files/Song_Lyrics/are_and_be/GonnaLoveMe_TeyanaTaylor.txt,0.2028,0.035476190476190474,0.7975000000000001,0.16702380952380955
1,Are & Be,Feels Like Summer,Childish Gambino,297404,78,0.0048200000000000005,../../Data_Files/Song_Lyrics/are_and_be/FeelsLikeSummer_ChildishGambino.txt,0.09970400000000001,0.04776,0.7705,0.18173999999999998
2,Are & Be,Call Out My Name,The Weeknd,228373,84,0.0,../../Data_Files/Song_Lyrics/are_and_be/CallOutMyName_TheWeeknd.txt,0.11742,0.04455,0.821625,0.13382500000000003
3,Are & Be,Trip,Ella Mai,217118,78,0.0,../../Data_Files/Song_Lyrics/are_and_be/Trip_EllaMai.txt,0.09916000000000003,0.0915090909090909,0.7348181818181818,0.17367272727272726
4,Are & Be,Love Lies (with Normani),Khalid,201707,87,0.0,../../Data_Files/Song_Lyrics/are_and_be/LoveLieswithNormani_Khalid.txt,0.09916000000000003,0.0915090909090909,0.7348181818181818,0.17367272727272726
5,Are & Be,In My Feelings,Drake,217933,83,0.0144,../../Data_Files/Song_Lyrics/are_and_be/InMyFeelings_Drake.txt,-0.022602702702702704,0.11904054054054053,0.7779999999999999,0.10297297297297298
6,Are & Be,Know Myself,Justine Skye,167493,70,0.000931,../../Data_Files/Song_Lyrics/are_and_be/KnowMyself_JustineSkye.txt,0.09703571428571428,0.06326190476190477,0.7963095238095238,0.1404285714285714
7,Are & Be,The Light,MihTy,179653,73,8.149999999999999e-05,../../Data_Files/Song_Lyrics/are_and_be/TheLight_MihTy.txt,0.09703571428571428,0.06326190476190477,0.7963095238095238,0.1404285714285714
8,Are & Be,Could've Been (feat. Bryson Tiller),H.E.R.,248466,75,7.000000000000002e-06,../../Data_Files/Song_Lyrics/are_and_be/CouldveBeenfeatBrysonTiller_HER.txt,-0.000356923076923076,0.07321538461538463,0.8593692307692308,0.06741538461538461
9,Are & Be,CPR,Summer Walker,203142,66,8.47e-05,../../Data_Files/Song_Lyrics/are_and_be/CPR_SummerWalker.txt,-0.013513793103448272,0.16282758620689658,0.6883103448275861,0.14886206896551724
10,Are & Be,Wanna Be,The Internet,267400,66,0.0374,../../Data_Files/Song_Lyrics/are_and_be/WannaBe_TheInternet.txt,0.03673684210526316,0.061657894736842106,0.8471842105263158,0.09115789473684209
11,Are & Be,Easy,Next Town Down,182800,65,0.0,../../Data_Files/Song_Lyrics/are_and_be/Easy_NextTownDown.txt,0.10568235294117648,0.07738235294117647,0.731235294117647,0.19138235294117645
12,Are & Be,Boo'd Up,Ella Mai,256063,84,0.0,../../Data_Files/Song_Lyrics/are_and_be/BoodUp_EllaMai.txt,0.13056875,0.0224375,0.8323437499999999,0.14521875
13,Are & Be,After Dark,Drake,289560,69,0.0,../../Data_Files/Song_Lyrics/are_and_be/AfterDark_Drake.txt,-0.00030925925925925397,0.06612962962962962,0.8561481481481481,0.07772222222222223
14,Are & Be,Come Through and Chill,Miguel,322000,61,0.0,../../Data_Files/Song_Lyrics/are_and_be/ComeThroughandChill_Miguel.txt,0.020162626262626267,0.04817171717171717,0.8778686868686868,0.07396969696969698
15,Are & Be,OTW,Khalid,263013,86,3.26e-05,../../Data_Files/Song_Lyrics/are_and_be/OTW_Khalid.txt,0.03273472222222222,0.040986111111111105,0.8911944444444444,0.06781944444444445
16,Are & Be,SUMMER,The Carters,285200,61,1.75e-05,../../Data_Files/Song_Lyrics/are_and_be/SUMMER_TheCarters.txt,0.03273472222222222,0.040986111111111105,0.8911944444444444,0.06781944444444445
17,Are & Be,Lady Lady,Masego,158000,65,6.47e-06,../../Data_Files/Song_Lyrics/are_and_be/LadyLady_Masego.txt,0.06871111111111111,0.07227777777777779,0.7713333333333333,0.1563888888888889
18,Are & Be,All I Know,DaniLeigh,163746,65,0.0,../../Data_Files/Song_Lyrics/are_and_be/AllIKnow_DaniLeigh.txt,0.09945999999999997,0.0,0.8806363636363637,0.11936363636363635
19,Are & Be,Switch,6LACK,207080,76,0.00801,../../Data_Files/Song_Lyrics/are_and_be/Switch_6LACK.txt,0.07338644067796611,0.06457627118644067,0.6767118644067797,0.25866101694915256
20,Are & Be,Pony - Recorded at Spotify Studios NYC,Leon Bridges,256893,66,0.000192,../../Data_Files/Song_Lyrics/are_and_be/PonyRecordedatSpotifyStudiosNYC_LeonBridges.txt,0.07338644067796611,0.06457627118644067,0.6767118644067797,0.25866101694915256
21,Are & Be,I Like That,Janelle Monáe,200338,60,0.00243,../../Data_Files/Song_Lyrics/are_and_be/ILikeThat_JanelleMone.txt,0.08655882352941177,0.05166666666666666,0.7592352941176471,0.189078431372549
22,Are & Be,Happy Without Me,Chloe x Halle,206946,67,0.0,../../Data_Files/Song_Lyrics/are_and_be/HappyWithoutMe_ChloexHalle.txt,0.05293124999999999,0.07397916666666667,0.8470625000000002,0.079
23,Are & Be,This Way,Khalid,211204,38,0.0,../../Data_Files/Song_Lyrics/are_and_be/ThisWay_Khalid.txt,0.06922112676056338,0.03215492957746479,0.8705070422535209,0.09733802816901409
24,Are & Be,Blue Lights,Jorja Smith,250454,71,0.0,../../Data_Files/Song_Lyrics/are_and_be/BlueLights_JorjaSmith.txt,0.005190277777777781,0.050347222222222224,0.8979861111111112,0.051666666666666666
25,Are & Be,Don’t Matter To Me,Drake,245786,80,0.0128,../../Data_Files/Song_Lyrics/are_and_be/DontMatterToMe_Drake.txt,0.001751724137931033,0.07724137931034483,0.8786206896551723,0.04413793103448276
