,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,Fresh Finds,Just a Little,Lauren Faith,223793,46,0.156,../../Data_Files/Song_Lyrics/fresh_finds/JustaLittle_LaurenFaith.txt
1,Fresh Finds,You Can Have It All,B. Aull,207079,42,0.0,../../Data_Files/Song_Lyrics/fresh_finds/YouCanHaveItAll_BAull.txt
2,Fresh Finds,Bull Fighter,Jean Dawson,257691,42,0.0017100000000000001,../../Data_Files/Song_Lyrics/fresh_finds/BullFighter_JeanDawson.txt
3,Fresh Finds,Fo'Sho,April + Vista,108946,43,0.0275,../../Data_Files/Song_Lyrics/fresh_finds/FoSho_AprilVista.txt
4,Fresh Finds,Buddha,Public Library Commute,200803,41,0.0546,../../Data_Files/Song_Lyrics/fresh_finds/Buddha_PublicLibraryCommute.txt
5,Fresh Finds,Yellow Squash,Jaymison,253821,40,0.138,../../Data_Files/Song_Lyrics/fresh_finds/YellowSquash_Jaymison.txt
6,Fresh Finds,Come Back,Caravãna Sun,233412,42,0.0368,../../Data_Files/Song_Lyrics/fresh_finds/ComeBack_CaravnaSun.txt
7,Fresh Finds,Escape,Ouri,186996,44,0.0608,../../Data_Files/Song_Lyrics/fresh_finds/Escape_Ouri.txt
8,Fresh Finds,Love 4 Me,Ionika,190080,40,5.54e-06,../../Data_Files/Song_Lyrics/fresh_finds/Love4Me_Ionika.txt
9,Fresh Finds,Telephono De Casa,Lil House Phone,137904,41,5.08e-05,../../Data_Files/Song_Lyrics/fresh_finds/TelephonoDeCasa_LilHousePhone.txt
10,Fresh Finds,Make Money Not Friends,Lazy J,237557,41,0.0,../../Data_Files/Song_Lyrics/fresh_finds/MakeMoneyNotFriends_LazyJ.txt
11,Fresh Finds,Nothing in My Head,Richie Quake,181760,38,0.0,../../Data_Files/Song_Lyrics/fresh_finds/NothinginMyHead_RichieQuake.txt
12,Fresh Finds,Summer Love,Midnight Quickie,210258,43,9.470000000000001e-05,../../Data_Files/Song_Lyrics/fresh_finds/SummerLove_MidnightQuickie.txt
13,Fresh Finds,Forever for Now,Dylan Bernard,211306,40,0.0,../../Data_Files/Song_Lyrics/fresh_finds/ForeverforNow_DylanBernard.txt
14,Fresh Finds,Cut Bait,Jim Bryson,213170,38,0.846,../../Data_Files/Song_Lyrics/fresh_finds/CutBait_JimBryson.txt
15,Fresh Finds,A Sound,Animals in the Attic,203042,37,0.000489,../../Data_Files/Song_Lyrics/fresh_finds/ASound_AnimalsintheAttic.txt
16,Fresh Finds,The Place,Far Caspian,257945,38,0.41100000000000003,../../Data_Files/Song_Lyrics/fresh_finds/ThePlace_FarCaspian.txt
17,Fresh Finds,Wild,JYDN,173949,40,0.0,../../Data_Files/Song_Lyrics/fresh_finds/Wild_JYDN.txt
18,Fresh Finds,With Me,Loko Luca,144000,41,0.0,../../Data_Files/Song_Lyrics/fresh_finds/WithMe_LokoLuca.txt
19,Fresh Finds,Fate,Hermit and the Recluse,188680,44,0.0102,../../Data_Files/Song_Lyrics/fresh_finds/Fate_HermitandtheRecluse.txt
20,Fresh Finds,f*cked up,KAINA,204001,37,0.23199999999999998,../../Data_Files/Song_Lyrics/fresh_finds/fckedup_KAINA.txt
21,Fresh Finds,BPD,SWANES,220462,38,0.000223,../../Data_Files/Song_Lyrics/fresh_finds/BPD_SWANES.txt
22,Fresh Finds,POMEROY,jxsh,184615,37,0.9440000000000001,../../Data_Files/Song_Lyrics/fresh_finds/POMEROY_jxsh.txt
23,Fresh Finds,How I - h2the remix,Sirken,195630,39,0.000367,../../Data_Files/Song_Lyrics/fresh_finds/HowIh2theremix_Sirken.txt
24,Fresh Finds,Frog Fractions,Khotin,280000,36,0.929,../../Data_Files/Song_Lyrics/fresh_finds/FrogFractions_Khotin.txt
25,Fresh Finds,New Day,AEM Rhythm-Cascade,361861,35,0.884,../../Data_Files/Song_Lyrics/fresh_finds/NewDay_AEMRhythmCascade.txt
26,Fresh Finds,Sheeta,HOMALS,221311,36,0.0008039999999999999,../../Data_Files/Song_Lyrics/fresh_finds/Sheeta_HOMALS.txt
27,Fresh Finds,Good Luck,TYNI,173999,37,1.98e-05,../../Data_Files/Song_Lyrics/fresh_finds/GoodLuck_TYNI.txt
28,Fresh Finds,Deep In My Soul,Zetbee,382606,35,0.866,../../Data_Files/Song_Lyrics/fresh_finds/DeepInMySoul_Zetbee.txt
29,Fresh Finds,Ooze,Petticoat,177560,35,0.813,../../Data_Files/Song_Lyrics/fresh_finds/Ooze_Petticoat.txt
