,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,Global Viral 50,Baby Shark,Pinkfong,96332,71,0.0,../../Data_Files/Song_Lyrics/global_viral_50/BabyShark_Pinkfong.txt
1,Global Viral 50,Be Alright,Dean Lewis,196373,90,0.0,../../Data_Files/Song_Lyrics/global_viral_50/BeAlright_DeanLewis.txt
2,Global Viral 50,W O R K I N M E,Quavo,169620,83,7.06e-06,../../Data_Files/Song_Lyrics/global_viral_50/WORKINME_Quavo.txt
3,Global Viral 50,Eastside (with Halsey & Khalid),benny blanco,173799,95,0.0,../../Data_Files/Song_Lyrics/global_viral_50/EastsidewithHalseyKhalid_bennyblanco.txt
4,Global Viral 50,Quero Que Tu Vá,Ananda,139188,79,0.0,../../Data_Files/Song_Lyrics/global_viral_50/QueroQueTuV_Ananda.txt
5,Global Viral 50,Back In Your Heart,Junior J,172000,62,0.0,../../Data_Files/Song_Lyrics/global_viral_50/BackInYourHeart_JuniorJ.txt
6,Global Viral 50,In My Mind,Dynoro,184560,94,1.1e-05,../../Data_Files/Song_Lyrics/global_viral_50/InMyMind_Dynoro.txt
7,Global Viral 50,Magic In The Hamptons (feat. Lil Yachty),Social House,164640,80,0.0,../../Data_Files/Song_Lyrics/global_viral_50/MagicInTheHamptonsfeatLilYachty_SocialHouse.txt
8,Global Viral 50,Só Você,Dennis DJ,161444,79,0.0,../../Data_Files/Song_Lyrics/global_viral_50/SVoc_DennisDJ.txt
9,Global Viral 50,¿Qué Tiene?,Ximena Sariñana,177272,71,0.00462,../../Data_Files/Song_Lyrics/global_viral_50/QuTiene_XimenaSariana.txt
10,Global Viral 50,Drew Barrymore,Bryce Vine,190471,81,0.00118,../../Data_Files/Song_Lyrics/global_viral_50/DrewBarrymore_BryceVine.txt
11,Global Viral 50,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,163636,87,0.0,../../Data_Files/Song_Lyrics/global_viral_50/WheneverfeatConorMaynard_KrisKrossAmsterdam.txt
12,Global Viral 50,Mo Bamba,Sheck Wes,180897,84,0.00114,../../Data_Files/Song_Lyrics/global_viral_50/MoBamba_SheckWes.txt
13,Global Viral 50,SICKO MODE,Travis Scott,312820,95,0.0,../../Data_Files/Song_Lyrics/global_viral_50/SICKOMODE_TravisScott.txt
14,Global Viral 50,Tie Me Down (with Elley Duhé),Gryffin,218295,82,0.0,../../Data_Files/Song_Lyrics/global_viral_50/TieMeDownwithElleyDuh_Gryffin.txt
15,Global Viral 50,Noticed,Lil Mosey,165000,81,0.0,../../Data_Files/Song_Lyrics/global_viral_50/Noticed_LilMosey.txt
16,Global Viral 50,More Than Friends,ASHS,211293,59,0.00435,../../Data_Files/Song_Lyrics/global_viral_50/MoreThanFriends_ASHS.txt
17,Global Viral 50,"Thunderclouds with Sia, Diplo & Labrinth",Sia,187026,86,9.06e-06,../../Data_Files/Song_Lyrics/global_viral_50/ThundercloudswithSiaDiploLabrinth_Sia.txt
18,Global Viral 50,Waiting,KIAN,215688,66,0.0,../../Data_Files/Song_Lyrics/global_viral_50/Waiting_KIAN.txt
19,Global Viral 50,Beautiful (feat. Camila Cabello),Bazzi,180000,90,0.0,../../Data_Files/Song_Lyrics/global_viral_50/BeautifulfeatCamilaCabello_Bazzi.txt
20,Global Viral 50,Cuando Te Besé,Becky G,254383,86,5.14e-06,../../Data_Files/Song_Lyrics/global_viral_50/CuandoTeBes_BeckyG.txt
21,Global Viral 50,Lovers,Anna Of The North,215773,65,0.00435,../../Data_Files/Song_Lyrics/global_viral_50/Lovers_AnnaOfTheNorth.txt
22,Global Viral 50,Smile (Living My Best Life) (feat. Snoop Dogg & Ball Greezy),Lil Duval,214159,69,5.83e-06,../../Data_Files/Song_Lyrics/global_viral_50/SmileLivingMyBestLifefeatSnoopDoggBallGreezy_LilDuval.txt
23,Global Viral 50,Can’t Help Falling in Love,Kina Grannis,201933,69,7.070000000000001e-05,../../Data_Files/Song_Lyrics/global_viral_50/CantHelpFallinginLove_KinaGrannis.txt
24,Global Viral 50,Mala Mía,Maluma,183752,85,0.0,../../Data_Files/Song_Lyrics/global_viral_50/MalaMa_Maluma.txt
25,Global Viral 50,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,179404,96,0.0,../../Data_Files/Song_Lyrics/global_viral_50/FEFEfeatNickiMinajMurdaBeatz_6ix9ine.txt
26,Global Viral 50,Pouca Pausa,Clau,279756,79,0.0,../../Data_Files/Song_Lyrics/global_viral_50/PoucaPausa_Clau.txt
27,Global Viral 50,Quiere Beber,Anuel Aa,187125,84,0.00524,../../Data_Files/Song_Lyrics/global_viral_50/QuiereBeber_AnuelAa.txt
28,Global Viral 50,You Say,Lauren Daigle,274693,73,0.0,../../Data_Files/Song_Lyrics/global_viral_50/YouSay_LaurenDaigle.txt
29,Global Viral 50,Ni Gucci Ni Prada,Kenny Man,174799,63,0.00047000000000000004,../../Data_Files/Song_Lyrics/global_viral_50/NiGucciNiPrada_KennyMan.txt
30,Global Viral 50,No Me Acuerdo,Thalía,217653,87,0.0,../../Data_Files/Song_Lyrics/global_viral_50/NoMeAcuerdo_Thala.txt
31,Global Viral 50,Saudade Nível Hard,Yasmin Santos,181846,73,0.0,../../Data_Files/Song_Lyrics/global_viral_50/SaudadeNvelHard_YasminSantos.txt
32,Global Viral 50,Losing It,FISHER,248035,59,0.7,../../Data_Files/Song_Lyrics/global_viral_50/LosingIt_FISHER.txt
33,Global Viral 50,Culpables,Manuel Turizo,233929,82,5.65e-06,../../Data_Files/Song_Lyrics/global_viral_50/Culpables_ManuelTurizo.txt
34,Global Viral 50,No Brainer,DJ Khaled,260000,95,0.0,../../Data_Files/Song_Lyrics/global_viral_50/NoBrainer_DJKhaled.txt
35,Global Viral 50,Trip,Ella Mai,217118,78,0.0,../../Data_Files/Song_Lyrics/global_viral_50/Trip_EllaMai.txt
36,Global Viral 50,Natural,Imagine Dragons,189466,89,0.0,../../Data_Files/Song_Lyrics/global_viral_50/Natural_ImagineDragons.txt
37,Global Viral 50,Toda - Remix,Alex Rose,367680,85,0.0,../../Data_Files/Song_Lyrics/global_viral_50/TodaRemix_AlexRose.txt
38,Global Viral 50,Ya No Tiene Novio,Sebastian Yatra,198933,80,0.0,../../Data_Files/Song_Lyrics/global_viral_50/YaNoTieneNovio_SebastianYatra.txt
39,Global Viral 50,Cada um na Sua - Ao Vivo,Fernando & Sorocaba,221498,74,0.0,../../Data_Files/Song_Lyrics/global_viral_50/CadaumnaSuaAoVivo_FernandoSorocaba.txt
40,Global Viral 50,TELÉFONO,Aitana,163293,81,0.000177,../../Data_Files/Song_Lyrics/global_viral_50/TELFONO_Aitana.txt
41,Global Viral 50,Taking A Walk,Trippie Redd,121680,81,0.0,../../Data_Files/Song_Lyrics/global_viral_50/TakingAWalk_TrippieRedd.txt
