,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,New Music Friday Malaysia,Electricity (with Dua Lipa),Silk City,238173,0,3.33e-06,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/ElectricitywithDuaLipa_SilkCity.txt
1,New Music Friday Malaysia,Love Someone,Lukas Graham,205463,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/LoveSomeone_LukasGraham.txt
2,New Music Friday Malaysia,Be Somebody (feat. Kiiara),Steve Aoki,205770,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/BeSomebodyfeatKiiara_SteveAoki.txt
3,New Music Friday Malaysia,Want To,Dua Lipa,211817,0,0.000132,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/WantTo_DuaLipa.txt
4,New Music Friday Malaysia,Just Got Paid,Sigala,218250,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/JustGotPaid_Sigala.txt
5,New Music Friday Malaysia,Lil’ Touch,Girls' Generation-Oh!GG,189846,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/LilTouch_GirlsGenerationOhGG.txt
6,New Music Friday Malaysia,Medicine,Robinson,225587,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Medicine_Robinson.txt
7,New Music Friday Malaysia,Lie for Love,Sabrina Carpenter,185990,0,4.82e-06,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/LieforLove_SabrinaCarpenter.txt
8,New Music Friday Malaysia,Glow,Gavin James,230694,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Glow_GavinJames.txt
9,New Music Friday Malaysia,Angels,Tom Walker,209110,0,,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Angels_TomWalker.txt
10,New Music Friday Malaysia,Way Down,MØ,188089,0,0.000259,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/WayDown_M.txt
11,New Music Friday Malaysia,Everybody Dies,Logic,250266,0,2.59e-06,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/EverybodyDies_Logic.txt
12,New Music Friday Malaysia,Nina Cried Power - edit (featuring Mavis Staples),Hozier,225213,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/NinaCriedPowereditfeaturingMavisStaples_Hozier.txt
13,New Music Friday Malaysia,Body,MNEK,237643,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Body_MNEK.txt
14,New Music Friday Malaysia,More Of You,MAGIC!,234080,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/MoreOfYou_MAGIC.txt
15,New Music Friday Malaysia,Cold Showers,Chelsea Cutler,239160,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/ColdShowers_ChelseaCutler.txt
16,New Music Friday Malaysia,Mad at You (with Gallant),Noah Cyrus,226746,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/MadatYouwithGallant_NoahCyrus.txt
17,New Music Friday Malaysia,comethru,Jeremy Zucker,181520,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/comethru_JeremyZucker.txt
18,New Music Friday Malaysia,Why So Serious,Alice Merton,223933,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/WhySoSerious_AliceMerton.txt
19,New Music Friday Malaysia,The Only,Sasha Sloan,217167,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/TheOnly_SashaSloan.txt
20,New Music Friday Malaysia,Queens,The Blaze,234680,30,0.268,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Queens_TheBlaze.txt
21,New Music Friday Malaysia,F*** Being Friends,Jessie Reyez,152400,0,2.22e-05,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/FBeingFriends_JessieReyez.txt
22,New Music Friday Malaysia,Heaven,Clairo,233871,0,5.02e-06,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Heaven_Clairo.txt
23,New Music Friday Malaysia,Lost in My Mind,RÜFÜS DU SOL,260664,0,0.000682,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/LostinMyMind_RFSDUSOL.txt
24,New Music Friday Malaysia,Utican,Novo Amor,175986,0,0.0289,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Utican_NovoAmor.txt
25,New Music Friday Malaysia,Regret Me,Pyra,288428,0,1.5399999999999998e-05,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/RegretMe_Pyra.txt
26,New Music Friday Malaysia,Changing,Conrad Sewell,207410,7,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Changing_ConradSewell.txt
27,New Music Friday Malaysia,Steps,Leah Nobel,218595,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Steps_LeahNobel.txt
28,New Music Friday Malaysia,Look Up Child,Lauren Daigle,183013,57,1.04e-06,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/LookUpChild_LaurenDaigle.txt
29,New Music Friday Malaysia,All My Love,Landon Austin,228103,0,6.71e-06,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/AllMyLove_LandonAustin.txt
30,New Music Friday Malaysia,Here I Go Again,Gracenote,229606,0,0.0504,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/HereIGoAgain_Gracenote.txt
31,New Music Friday Malaysia,Freedom,David Guetta,235160,0,0.37,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Freedom_DavidGuetta.txt
32,New Music Friday Malaysia,Missin You Crazy,Russ,226693,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/MissinYouCrazy_Russ.txt
33,New Music Friday Malaysia,Happy With You,Paul McCartney,214111,0,0.000959,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/HappyWithYou_PaulMcCartney.txt
34,New Music Friday Malaysia,Good Thing Gone,Elle King,292594,0,0.0001,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/GoodThingGone_ElleKing.txt
35,New Music Friday Malaysia,Love That Hurts,ZHU,180572,0,0.0027,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/LoveThatHurts_ZHU.txt
36,New Music Friday Malaysia,Something In The Water,Iceleak,161890,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/SomethingInTheWater_Iceleak.txt
37,New Music Friday Malaysia,Summer Gone,FATHERDUDE,202038,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/SummerGone_FATHERDUDE.txt
38,New Music Friday Malaysia,And Then There's You - Edit,Bill Ryder-Jones,191616,5,0.0678,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/AndThenTheresYouEdit_BillRyderJones.txt
39,New Music Friday Malaysia,Bad Blood,Seafret,198617,0,3.2e-06,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/BadBlood_Seafret.txt
40,New Music Friday Malaysia,White Man,Macy Gray,193066,5,0.0243,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/WhiteMan_MacyGray.txt
41,New Music Friday Malaysia,96 Likes,Zach Gill,193973,0,4.429999999999999e-05,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/96Likes_ZachGill.txt
42,New Music Friday Malaysia,Skin 2 Skin (feat. Karra),Diamond Pistols,189873,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Skin2SkinfeatKarra_DiamondPistols.txt
43,New Music Friday Malaysia,Camera Phone,Sophia Ayana,208805,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/CameraPhone_SophiaAyana.txt
44,New Music Friday Malaysia,The Wasteland Incident,Martin Baltser,251224,0,0.000686,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/TheWastelandIncident_MartinBaltser.txt
45,New Music Friday Malaysia,Peer Pressure,L Devine,180447,28,2.02e-06,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/PeerPressure_LDevine.txt
46,New Music Friday Malaysia,Truth Is,Stealth,188022,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/TruthIs_Stealth.txt
47,New Music Friday Malaysia,Dummy,Julian Jacob,183272,0,1.7199999999999998e-05,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Dummy_JulianJacob.txt
48,New Music Friday Malaysia,Johnny Cash,Lenny Kravitz,378040,0,0.000413,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/JohnnyCash_LennyKravitz.txt
49,New Music Friday Malaysia,I Shall Love 2 - Edit,Julia Holter,252546,0,1.7100000000000002e-05,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/IShallLove2Edit_JuliaHolter.txt
50,New Music Friday Malaysia,Novocaine,X Lovers,148875,0,2.98e-05,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Novocaine_XLovers.txt
51,New Music Friday Malaysia,Saskia,Adam Prince King,231853,0,2.26e-06,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Saskia_AdamPrinceKing.txt
52,New Music Friday Malaysia,Something to Feel,Mac Ayres,213535,5,1.95e-05,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/SomethingtoFeel_MacAyres.txt
53,New Music Friday Malaysia,The Show,Neffex,234000,3,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/TheShow_Neffex.txt
54,New Music Friday Malaysia,Famous,Xuitcasecity,164861,0,0.0,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/Famous_Xuitcasecity.txt
55,New Music Friday Malaysia,Like Me,AJ Rafael,205084,0,1.74e-05,../../Data_Files/Song_Lyrics/new_music_friday_malaysia/LikeMe_AJRafael.txt
