,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,Rock This,MANTRA,Bring Me The Horizon,233297,76,0.0,../../Data_Files/Song_Lyrics/rock_this/MANTRA_BringMeTheHorizon.txt
1,Rock This,Forever & Ever More,Nothing But Thieves,208133,64,0.00771,../../Data_Files/Song_Lyrics/rock_this/ForeverEverMore_NothingButThieves.txt
2,Rock This,Natural,Imagine Dragons,189466,89,0.0,../../Data_Files/Song_Lyrics/rock_this/Natural_ImagineDragons.txt
3,Rock This,Jumpsuit,Twenty One Pilots,238567,80,0.207,../../Data_Files/Song_Lyrics/rock_this/Jumpsuit_TwentyOnePilots.txt
4,Rock This,The Dark Side,Muse,227215,67,8.62e-06,../../Data_Files/Song_Lyrics/rock_this/TheDarkSide_Muse.txt
5,Rock This,Blood / / Water,grandson,216720,28,0.00215,../../Data_Files/Song_Lyrics/rock_this/BloodWater_grandson.txt
6,Rock This,When The Curtain Falls,Greta Van Fleet,221893,69,0.0706,../../Data_Files/Song_Lyrics/rock_this/WhenTheCurtainFalls_GretaVanFleet.txt
7,Rock This,Make It Up As I Go (feat. K.Flay),Mike Shinoda,209706,60,0.0221,../../Data_Files/Song_Lyrics/rock_this/MakeItUpAsIGofeatKFlay_MikeShinoda.txt
8,Rock This,Love It If We Made It,The 1975,253249,71,1.9699999999999998e-05,../../Data_Files/Song_Lyrics/rock_this/LoveItIfWeMadeIt_The1975.txt
9,Rock This,Prayers,Good Charlotte,230027,55,4.85e-06,../../Data_Files/Song_Lyrics/rock_this/Prayers_GoodCharlotte.txt
10,Rock This,SCREWS,DREAMERS,200147,61,2.24e-06,../../Data_Files/Song_Lyrics/rock_this/SCREWS_DREAMERS.txt
11,Rock This,Ghost,Badflower,259427,66,0.0,../../Data_Files/Song_Lyrics/rock_this/Ghost_Badflower.txt
12,Rock This,High Hopes,Panic! At The Disco,190946,88,0.0,../../Data_Files/Song_Lyrics/rock_this/HighHopes_PanicAtTheDisco.txt
13,Rock This,You'll Be Fine,Palaye Royale,213394,61,0.0,../../Data_Files/Song_Lyrics/rock_this/YoullBeFine_PalayeRoyale.txt
14,Rock This,Only Us,Thrice,224280,61,0.00010800000000000001,../../Data_Files/Song_Lyrics/rock_this/OnlyUs_Thrice.txt
15,Rock This,Nico And The Niners,Twenty One Pilots,227365,80,8.67e-06,../../Data_Files/Song_Lyrics/rock_this/NicoAndTheNiners_TwentyOnePilots.txt
