Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness
Today's Top Hits,Happier,Marshmello,214289,89,0.0
Today's Top Hits,Eastside (with Halsey & Khalid),benny blanco,173799,95,0.0
Today's Top Hits,Be Alright,Dean Lewis,196373,90,0.0
Today's Top Hits,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,163636,69,0.0
Today's Top Hits,Promises (with Sam Smith),Calvin Harris,213309,90,4.91e-06
Today's Top Hits,breathin,Ariana Grande,198160,92,1.37e-05
Today's Top Hits,Natural,Imagine Dragons,189466,89,0.0
Today's Top Hits,No Brainer,DJ Khaled,260000,95,0.0
Today's Top Hits,Lucky You (feat. Joyner Lucas),Eminem,244679,88,0.0
Today's Top Hits,Happy Now,Zedd,207029,91,1.49e-06
Today's Top Hits,Beautiful (feat. Camila Cabello),Bazzi,180000,90,0.0
Today's Top Hits,"Thunderclouds with Sia, Diplo & Labrinth",Sia,187026,86,9.06e-06
Today's Top Hits,In My Mind,Dynoro,184560,94,1.1e-05
Today's Top Hits,Body,Loud Luxury,163216,87,9.44e-05
Today's Top Hits,Feels Like Summer,Childish Gambino,297404,78,0.00482
Today's Top Hits,Tie Me Down (with Elley Duhé),Gryffin,218295,82,0.0
Today's Top Hits,Girls Like You (feat. Cardi B),Maroon 5,235545,94,0.0
Today's Top Hits,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,183750,88,0.0
Today's Top Hits,SICKO MODE,Travis Scott,312820,95,0.0
Today's Top Hits,Drew Barrymore,Bryce Vine,190471,81,0.00118
Today's Top Hits,BEBE,6ix9ine,217822,82,0.0
Today's Top Hits,Rise,Jonas Blue,194407,94,0.0
Today's Top Hits,In My Feelings,Drake,217933,83,0.0144
Today's Top Hits,High On Life (feat. Bonn),Martin Garrix,230761,85,0.0
Today's Top Hits,I'm a Mess,Bebe Rexha,195519,87,0.0
Today's Top Hits,Side Effects (feat. Emily Warren),The Chainsmokers,173613,82,0.0
Today's Top Hits,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,195419,81,0.0
Today's Top Hits,God is a woman,Ariana Grande,197573,89,3.32e-05
Today's Top Hits,REMEDY,Alesso,190295,73,0.0
Today's Top Hits,Taste (feat. Offset),Tyga,232959,95,0.0
Today's Top Hits,Vaina Loca,Ozuna,176133,79,0.0
Today's Top Hits,Real Friends,Camila Cabello,223583,77,5.07e-06
Today's Top Hits,Shotgun,George Ezra,201287,90,0.0
Today's Top Hits,Noticed,Lil Mosey,165000,81,0.0
Today's Top Hits,All I Am,Jess Glynne,218868,79,0.0
Today's Top Hits,Jackie Chan,Tiësto,215759,94,0.0
Today's Top Hits,IDOL,BTS,260233,83,0.0
Today's Top Hits,Youngblood,5 Seconds of Summer,203417,90,0.0
Today's Top Hits,Magic In The Hamptons (feat. Lil Yachty),Social House,164640,80,0.0
Today's Top Hits,Darkside,Alan Walker,211866,86,0.0
Today's Top Hits,High Hopes,Panic! At The Disco,190946,88,0.0
Today's Top Hits,8 Letters,Why Don't We,190026,79,0.0
Today's Top Hits,Level Up,Ciara,204150,80,0.0107
Today's Top Hits,The Return,Logic,252133,77,0.0
Today's Top Hits,We Don't Care,Sigala,207429,80,0.0
Today's Top Hits,Finest Hour (feat. Abir),Cash Cash,215781,80,0.0
Today's Top Hits,SWISH,Tyga,194935,87,0.0
Today's Top Hits,Ring (feat. Kehlani),Cardi B,177139,79,0.0
Today's Top Hits,Still New York,MAX,224914,76,0.0
Today's Top Hits,broken,lovelytheband,204878,78,4.26e-06
