,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path,compound,negative,neutral,positive
0,Today's Top Hits,Happier,Marshmello,214289,89,0.0,../../Data_Files/Song_Lyrics/todays_top_hits/Happier_Marshmello.txt,0.10137169811320756,0.035622641509433964,0.8305471698113207,0.1338301886792453
1,Today's Top Hits,Eastside (with Halsey & Khalid),benny blanco,173799,95,0.0,../../Data_Files/Song_Lyrics/todays_top_hits/EastsidewithHalseyKhalid_bennyblanco.txt,0.10137169811320756,0.035622641509433964,0.8305471698113207,0.1338301886792453
2,Today's Top Hits,Be Alright,Dean Lewis,196373,90,0.0,../../Data_Files/Song_Lyrics/todays_top_hits/BeAlright_DeanLewis.txt,0.08075833333333333,0.05852777777777778,0.7264166666666667,0.21508333333333335
3,Today's Top Hits,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,163636,69,0.0,../../Data_Files/Song_Lyrics/todays_top_hits/WheneverfeatConorMaynard_KrisKrossAmsterdam.txt,0.08075833333333333,0.05852777777777778,0.7264166666666667,0.21508333333333335
4,Today's Top Hits,Promises (with Sam Smith),Calvin Harris,213309,90,4.91e-06,../../Data_Files/Song_Lyrics/todays_top_hits/PromiseswithSamSmith_CalvinHarris.txt,0.08075833333333333,0.05852777777777778,0.7264166666666667,0.21508333333333335
5,Today's Top Hits,breathin,Ariana Grande,198160,92,1.3699999999999998e-05,../../Data_Files/Song_Lyrics/todays_top_hits/breathin_ArianaGrande.txt,0.05151,0.013775,0.9296749999999999,0.05655
6,Today's Top Hits,Natural,Imagine Dragons,189466,89,0.0,../../Data_Files/Song_Lyrics/todays_top_hits/Natural_ImagineDragons.txt,0.08588727272727273,0.05905454545454546,0.7367272727272727,0.20419999999999996
7,Today's Top Hits,No Brainer,DJ Khaled,260000,95,0.0,../../Data_Files/Song_Lyrics/todays_top_hits/NoBrainer_DJKhaled.txt,0.06297207207207207,0.03354054054054054,0.843963963963964,0.1224954954954955
8,Today's Top Hits,Lucky You (feat. Joyner Lucas),Eminem,244679,88,0.0,../../Data_Files/Song_Lyrics/todays_top_hits/LuckyYoufeatJoynerLucas_Eminem.txt,-0.06418211382113823,0.11209756097560974,0.8048536585365853,0.08304878048780488
9,Today's Top Hits,Happy Now,Zedd,207029,91,1.49e-06,../../Data_Files/Song_Lyrics/todays_top_hits/HappyNow_Zedd.txt,-0.06418211382113823,0.11209756097560974,0.8048536585365853,0.08304878048780488
10,Today's Top Hits,Beautiful (feat. Camila Cabello),Bazzi,180000,90,0.0,../../Data_Files/Song_Lyrics/todays_top_hits/BeautifulfeatCamilaCabello_Bazzi.txt,0.2876170212765958,0.03040425531914893,0.7165531914893617,0.2530212765957447
11,Today's Top Hits,"Thunderclouds with Sia, Diplo & Labrinth",Sia,187026,86,9.06e-06,../../Data_Files/Song_Lyrics/todays_top_hits/ThundercloudswithSiaDiploLabrinth_Sia.txt,0.2876170212765958,0.03040425531914893,0.7165531914893617,0.2530212765957447
