,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,United States Top 50,Lucky You (feat. Joyner Lucas),Eminem,244679,88,0.0,../../Data_Files/Song_Lyrics/united_states_top_50/LuckyYoufeatJoynerLucas_Eminem.txt
1,United States Top 50,The Ringer,Eminem,337941,88,0.0,../../Data_Files/Song_Lyrics/united_states_top_50/TheRinger_Eminem.txt
2,United States Top 50,SICKO MODE,Travis Scott,312820,95,0.0,../../Data_Files/Song_Lyrics/united_states_top_50/SICKOMODE_TravisScott.txt
3,United States Top 50,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,179404,96,0.0,../../Data_Files/Song_Lyrics/united_states_top_50/FEFEfeatNickiMinajMurdaBeatz_6ix9ine.txt
4,United States Top 50,Lucid Dreams,Juice WRLD,239835,95,0.0,../../Data_Files/Song_Lyrics/united_states_top_50/LucidDreams_JuiceWRLD.txt
5,United States Top 50,Not Alike (feat. Royce Da 5'9),Eminem,288086,84,0.0,../../Data_Files/Song_Lyrics/united_states_top_50/NotAlikefeatRoyceDa59_Eminem.txt
6,United States Top 50,Greatest,Eminem,226937,85,0.0,../../Data_Files/Song_Lyrics/united_states_top_50/Greatest_Eminem.txt
7,United States Top 50,In My Feelings,Drake,217925,100,5.9999999999999995e-05,../../Data_Files/Song_Lyrics/united_states_top_50/InMyFeelings_Drake.txt
8,United States Top 50,Fall,Eminem,262493,84,0.0,../../Data_Files/Song_Lyrics/united_states_top_50/Fall_Eminem.txt
9,United States Top 50,Kamikaze,Eminem,216029,84,0.0,../../Data_Files/Song_Lyrics/united_states_top_50/Kamikaze_Eminem.txt
10,United States Top 50,Nonstop,Drake,238614,92,0.013000000000000001,../../Data_Files/Song_Lyrics/united_states_top_50/Nonstop_Drake.txt
11,United States Top 50,SAD!,XXXTENTACION,166605,95,0.00372,../../Data_Files/Song_Lyrics/united_states_top_50/SAD_XXXTENTACION.txt
12,United States Top 50,Moonlight,XXXTENTACION,135090,93,0.00404,../../Data_Files/Song_Lyrics/united_states_top_50/Moonlight_XXXTENTACION.txt
