,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,United States Viral 50,Yellow,Katherine Ho,248753,65,2.16e-06,../../Data_Files/Song_Lyrics/united_states_viral_50/Yellow_KatherineHo.txt
1,United States Viral 50,W O R K I N M E,Quavo,169620,83,7.06e-06,../../Data_Files/Song_Lyrics/united_states_viral_50/WORKINME_Quavo.txt
2,United States Viral 50,Be Alright,Dean Lewis,196373,90,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/BeAlright_DeanLewis.txt
3,United States Viral 50,Baby Shark,Pinkfong,96332,71,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/BabyShark_Pinkfong.txt
4,United States Viral 50,More Than Friends,ASHS,211293,59,0.00435,../../Data_Files/Song_Lyrics/united_states_viral_50/MoreThanFriends_ASHS.txt
5,United States Viral 50,Magic In The Hamptons (feat. Lil Yachty),Social House,164640,80,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/MagicInTheHamptonsfeatLilYachty_SocialHouse.txt
6,United States Viral 50,Back In Your Heart,Junior J,172000,62,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/BackInYourHeart_JuniorJ.txt
7,United States Viral 50,Eastside (with Halsey & Khalid),benny blanco,173799,95,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/EastsidewithHalseyKhalid_bennyblanco.txt
8,United States Viral 50,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,163636,87,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/WheneverfeatConorMaynard_KrisKrossAmsterdam.txt
9,United States Viral 50,Mo Bamba,Sheck Wes,180897,84,0.00114,../../Data_Files/Song_Lyrics/united_states_viral_50/MoBamba_SheckWes.txt
10,United States Viral 50,Tie Me Down (with Elley Duhé),Gryffin,218295,82,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/TieMeDownwithElleyDuh_Gryffin.txt
11,United States Viral 50,Drew Barrymore,Bryce Vine,190471,81,0.00118,../../Data_Files/Song_Lyrics/united_states_viral_50/DrewBarrymore_BryceVine.txt
12,United States Viral 50,¿Qué Tiene?,Ximena Sariñana,177272,71,0.00462,../../Data_Files/Song_Lyrics/united_states_viral_50/QuTiene_XimenaSariana.txt
13,United States Viral 50,Smile (Living My Best Life) (feat. Snoop Dogg & Ball Greezy),Lil Duval,214159,69,5.83e-06,../../Data_Files/Song_Lyrics/united_states_viral_50/SmileLivingMyBestLifefeatSnoopDoggBallGreezy_LilDuval.txt
14,United States Viral 50,Moonlight,Ali Gatie,228853,64,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/Moonlight_AliGatie.txt
15,United States Viral 50,Lovers,Anna Of The North,215773,65,0.00435,../../Data_Files/Song_Lyrics/united_states_viral_50/Lovers_AnnaOfTheNorth.txt
16,United States Viral 50,SICKO MODE,Travis Scott,312820,95,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/SICKOMODE_TravisScott.txt
17,United States Viral 50,Noticed,Lil Mosey,165000,81,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/Noticed_LilMosey.txt
18,United States Viral 50,"Thunderclouds with Sia, Diplo & Labrinth",Sia,187026,86,9.06e-06,../../Data_Files/Song_Lyrics/united_states_viral_50/ThundercloudswithSiaDiploLabrinth_Sia.txt
19,United States Viral 50,Can’t Help Falling in Love,Kina Grannis,201933,69,7.070000000000001e-05,../../Data_Files/Song_Lyrics/united_states_viral_50/CantHelpFallinginLove_KinaGrannis.txt
20,United States Viral 50,Dancing in the Moonlight,Jubel,164009,76,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/DancingintheMoonlight_Jubel.txt
21,United States Viral 50,You Say,Lauren Daigle,274693,73,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/YouSay_LaurenDaigle.txt
22,United States Viral 50,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,179404,96,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/FEFEfeatNickiMinajMurdaBeatz_6ix9ine.txt
23,United States Viral 50,Trip,Ella Mai,217118,78,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/Trip_EllaMai.txt
24,United States Viral 50,In My Mind,Dynoro,184560,94,1.1e-05,../../Data_Files/Song_Lyrics/united_states_viral_50/InMyMind_Dynoro.txt
25,United States Viral 50,Beautiful (feat. Camila Cabello),Bazzi,180000,90,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/BeautifulfeatCamilaCabello_Bazzi.txt
26,United States Viral 50,GIGI (ZKITTLEZ),Gringo,176000,78,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/GIGIZKITTLEZ_Gringo.txt
27,United States Viral 50,Taking A Walk,Trippie Redd,121680,81,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/TakingAWalk_TrippieRedd.txt
28,United States Viral 50,Losing It,FISHER,248035,59,0.7,../../Data_Files/Song_Lyrics/united_states_viral_50/LosingIt_FISHER.txt
29,United States Viral 50,Barbie Dreams,Nicki Minaj,279866,82,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/BarbieDreams_NickiMinaj.txt
30,United States Viral 50,Natural,Imagine Dragons,189466,89,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/Natural_ImagineDragons.txt
31,United States Viral 50,On My Way to You,Cody Johnson,213305,60,3.0299999999999998e-05,../../Data_Files/Song_Lyrics/united_states_viral_50/OnMyWaytoYou_CodyJohnson.txt
32,United States Viral 50,Mala Mía,Maluma,183752,85,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/MalaMa_Maluma.txt
33,United States Viral 50,No Brainer,DJ Khaled,260000,95,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/NoBrainer_DJKhaled.txt
34,United States Viral 50,Body (feat. brando),Loud Luxury,163216,73,9.44e-05,../../Data_Files/Song_Lyrics/united_states_viral_50/Bodyfeatbrando_LoudLuxury.txt
35,United States Viral 50,All Night Long,JST FRNDS,215750,68,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/AllNightLong_JSTFRNDS.txt
36,United States Viral 50,High On Life (feat. Bonn),Martin Garrix,230761,85,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/HighOnLifefeatBonn_MartinGarrix.txt
37,United States Viral 50,Sax to Me,Dj Seven,363924,60,0.669,../../Data_Files/Song_Lyrics/united_states_viral_50/SaxtoMe_DjSeven.txt
38,United States Viral 50,broken,lovelytheband,204878,78,4.26e-06,../../Data_Files/Song_Lyrics/united_states_viral_50/broken_lovelytheband.txt
