,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path,compound,negative,neutral,positive
0,United States Viral 50,Yellow,Katherine Ho,248753,65,2.16e-06,../../Data_Files/Song_Lyrics/united_states_viral_50/Yellow_KatherineHo.txt,0.0,0.0,1.0,0.0
1,United States Viral 50,W O R K I N M E,Quavo,169620,83,7.06e-06,../../Data_Files/Song_Lyrics/united_states_viral_50/WORKINME_Quavo.txt,0.033766666666666674,0.08143750000000001,0.7978541666666666,0.12066666666666666
2,United States Viral 50,Be Alright,Dean Lewis,196373,90,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/BeAlright_DeanLewis.txt,0.08075833333333333,0.05852777777777778,0.7264166666666667,0.21508333333333335
3,United States Viral 50,Baby Shark,Pinkfong,96332,71,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/BabyShark_Pinkfong.txt,0.050383333333333336,0.0,0.9607500000000001,0.03925
4,United States Viral 50,More Than Friends,ASHS,211293,59,0.00435,../../Data_Files/Song_Lyrics/united_states_viral_50/MoreThanFriends_ASHS.txt,0.050383333333333336,0.0,0.9607500000000001,0.03925
5,United States Viral 50,Magic In The Hamptons (feat. Lil Yachty),Social House,164640,80,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/MagicInTheHamptonsfeatLilYachty_SocialHouse.txt,0.051084444444444446,0.04017777777777778,0.8856888888888886,0.07413333333333334
6,United States Viral 50,Back In Your Heart,Junior J,172000,62,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/BackInYourHeart_JuniorJ.txt,-0.0011941176470588253,0.05707843137254903,0.900470588235294,0.04245098039215686
7,United States Viral 50,Eastside (with Halsey & Khalid),benny blanco,173799,95,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/EastsidewithHalseyKhalid_bennyblanco.txt,-0.0011941176470588253,0.05707843137254903,0.900470588235294,0.04245098039215686
8,United States Viral 50,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,163636,87,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/WheneverfeatConorMaynard_KrisKrossAmsterdam.txt,-0.0011941176470588253,0.05707843137254903,0.900470588235294,0.04245098039215686
9,United States Viral 50,Mo Bamba,Sheck Wes,180897,84,0.00114,../../Data_Files/Song_Lyrics/united_states_viral_50/MoBamba_SheckWes.txt,-0.16020243902439024,0.20734146341463416,0.7266585365853658,0.06597560975609756
10,United States Viral 50,Tie Me Down (with Elley Duhé),Gryffin,218295,82,0.0,../../Data_Files/Song_Lyrics/united_states_viral_50/TieMeDownwithElleyDuh_Gryffin.txt,-0.16020243902439024,0.20734146341463416,0.7266585365853658,0.06597560975609756
11,United States Viral 50,Drew Barrymore,Bryce Vine,190471,81,0.00118,../../Data_Files/Song_Lyrics/united_states_viral_50/DrewBarrymore_BryceVine.txt,0.0728953125,0.02259375,0.82459375,0.15281250000000002
12,United States Viral 50,¿Qué Tiene?,Ximena Sariñana,177272,71,0.00462,../../Data_Files/Song_Lyrics/united_states_viral_50/QuTiene_XimenaSariana.txt,-0.08705882352941176,0.11349999999999999,0.8865,0.0
