Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness
Viral Hits,SICKO MODE,Travis Scott,312820,95,0.0
Viral Hits,W O R K I N M E,Quavo,169620,83,7.06e-06
Viral Hits,Start The Par-dee,Chef BRD,146273,48,1.57e-06
Viral Hits,Vaina Loca,Ozuna,176133,79,0.0
Viral Hits,Eastside (with Halsey & Khalid),benny blanco,173799,95,0.0
Viral Hits,"Thunderclouds with Sia, Diplo & Labrinth",Sia,187026,86,9.06e-06
Viral Hits,Bad At Love - Recorded at Sound Stage Studios Nashville,Old Dominion,181000,65,0.0
Viral Hits,Play,Dave Grohl,1355938,61,0.752
Viral Hits,Be Alright,Dean Lewis,196373,90,0.0
Viral Hits,Tie Me Down (with Elley Duhé),Gryffin,218295,82,0.0
Viral Hits,Beautiful (feat. Camila Cabello),Bazzi,180000,90,0.0
Viral Hits,¿Qué Tiene?,Ximena Sariñana,177272,71,0.00462
Viral Hits,Barbie Dreams,Nicki Minaj,279866,82,0.0
Viral Hits,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,179404,96,0.0
Viral Hits,L A M B T A L K,Quavo,172440,76,0.0
Viral Hits,Mo Bamba,Sheck Wes,180897,84,0.00114
Viral Hits,No Brainer,DJ Khaled,260000,95,0.0
Viral Hits,Taking A Walk,Trippie Redd,121680,81,0.0
Viral Hits,Drew Barrymore,Bryce Vine,190471,81,0.00118
Viral Hits,You Say,Lauren Daigle,274693,73,0.0
Viral Hits,Can’t Help Falling in Love,Kina Grannis,201933,69,7.07e-05
Viral Hits,Majesty (with Labrinth & feat. Eminem),Nicki Minaj,295653,79,0.0
Viral Hits,Better,Chantel Jeffries,193506,70,6.46e-05
Viral Hits,Magic In The Hamptons (feat. Lil Yachty),Social House,164640,80,0.0
Viral Hits,Mala Mía,Maluma,183752,85,0.0
