,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,¡Viva Latino!,Clandestino,Shakira,231920,90,3.37e-05,../../Data_Files/Song_Lyrics/viva_latino/Clandestino_Shakira.txt
1,¡Viva Latino!,Vaina Loca,Ozuna,176133,91,0.0,../../Data_Files/Song_Lyrics/viva_latino/VainaLoca_Ozuna.txt
2,¡Viva Latino!,Te Boté - Remix,Nio Garcia,417920,93,1.28e-05,../../Data_Files/Song_Lyrics/viva_latino/TeBotRemix_NioGarcia.txt
3,¡Viva Latino!,Sin Pijama,Becky G,188560,92,2.9299999999999997e-05,../../Data_Files/Song_Lyrics/viva_latino/SinPijama_BeckyG.txt
4,¡Viva Latino!,X - Remix,Nicky Jam,235746,88,3.77e-05,../../Data_Files/Song_Lyrics/viva_latino/XRemix_NickyJam.txt
5,¡Viva Latino!,Amigos Con Derechos,Reik,227476,73,0.0,../../Data_Files/Song_Lyrics/viva_latino/AmigosConDerechos_Reik.txt
6,¡Viva Latino!,No Es Justo,J Balvin,250840,86,0.000363,../../Data_Files/Song_Lyrics/viva_latino/NoEsJusto_JBalvin.txt
7,¡Viva Latino!,Celoso,Lele Pons,179693,80,0.0,../../Data_Files/Song_Lyrics/viva_latino/Celoso_LelePons.txt
8,¡Viva Latino!,No Me Acuerdo,Thalía,217653,87,0.0,../../Data_Files/Song_Lyrics/viva_latino/NoMeAcuerdo_Thala.txt
9,¡Viva Latino!,Dura - Remix,Daddy Yankee,242160,86,0.0,../../Data_Files/Song_Lyrics/viva_latino/DuraRemix_DaddyYankee.txt
10,¡Viva Latino!,La Player (Bandolera),Zion & Lennox,249608,88,0.0,../../Data_Files/Song_Lyrics/viva_latino/LaPlayerBandolera_ZionLennox.txt
11,¡Viva Latino!,Cuando Te Besé,Becky G,254383,86,5.14e-06,../../Data_Files/Song_Lyrics/viva_latino/CuandoTeBes_BeckyG.txt
12,¡Viva Latino!,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,201526,88,0.0,../../Data_Files/Song_Lyrics/viva_latino/123featJasonDeruloDeLaGhetto_SofiaReyes.txt
13,¡Viva Latino!,Mi Cama - Remix,Karol G,196320,85,0.0,../../Data_Files/Song_Lyrics/viva_latino/MiCamaRemix_KarolG.txt
14,¡Viva Latino!,Me Niego,Reik,221653,88,0.0,../../Data_Files/Song_Lyrics/viva_latino/MeNiego_Reik.txt
15,¡Viva Latino!,I Like It,Cardi B,253390,95,0.0,../../Data_Files/Song_Lyrics/viva_latino/ILikeIt_CardiB.txt
16,¡Viva Latino!,Hipócrita,Anuel Aa,192000,84,0.0,../../Data_Files/Song_Lyrics/viva_latino/Hipcrita_AnuelAa.txt
17,¡Viva Latino!,Asesina,Brytiago,187213,87,0.0,../../Data_Files/Song_Lyrics/viva_latino/Asesina_Brytiago.txt
18,¡Viva Latino!,Mala Mía,Maluma,183752,85,0.0,../../Data_Files/Song_Lyrics/viva_latino/MalaMa_Maluma.txt
19,¡Viva Latino!,Síguelo Bailando,Ozuna,226800,85,3.97e-05,../../Data_Files/Song_Lyrics/viva_latino/SgueloBailando_Ozuna.txt
20,¡Viva Latino!,Por Perro,Sebastian Yatra,245360,84,0.0,../../Data_Files/Song_Lyrics/viva_latino/PorPerro_SebastianYatra.txt
