,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,RapCaviar,Lucky You (feat. Joyner Lucas),Eminem,244679,88,0,../Data_Files/Song_Lyrics/rap_caviar/Lucky You (feat. Joyner Lucas)|Eminem.txt
1,RapCaviar,SICKO MODE,Travis Scott,312820,95,0,../Data_Files/Song_Lyrics/rap_caviar/SICKO MODE|Travis Scott.txt
2,RapCaviar,Moonlight,XXXTENTACION,135090,93,0.00404,../Data_Files/Song_Lyrics/rap_caviar/Moonlight|XXXTENTACION.txt
3,RapCaviar,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,179404,96,0,../Data_Files/Song_Lyrics/rap_caviar/FEFE (feat. Nicki Minaj & Murda Beatz)|6ix9ine.txt
4,RapCaviar,Nonstop,Drake,238613,79,0.00698,../Data_Files/Song_Lyrics/rap_caviar/Nonstop|Drake.txt
5,RapCaviar,STARGAZING,Travis Scott,270714,91,4.05e-06,../Data_Files/Song_Lyrics/rap_caviar/STARGAZING|Travis Scott.txt
6,RapCaviar,Yes Indeed,Lil Baby,142273,55,0,../Data_Files/Song_Lyrics/rap_caviar/Yes Indeed|Lil Baby.txt
7,RapCaviar,Mo Bamba,Sheck Wes,180897,84,0.00114,../Data_Files/Song_Lyrics/rap_caviar/Mo Bamba|Sheck Wes.txt
8,RapCaviar,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,225483,75,0,../Data_Files/Song_Lyrics/rap_caviar/Hopeless Romantic (feat. Swae Lee)|Wiz Khalifa.txt
9,RapCaviar,Lean Wit Me,Juice WRLD,175755,85,0,../Data_Files/Song_Lyrics/rap_caviar/Lean Wit Me|Juice WRLD.txt
10,RapCaviar,Leave Me Alone,Flipp Dinero,195637,80,0,../Data_Files/Song_Lyrics/rap_caviar/Leave Me Alone|Flipp Dinero.txt
11,RapCaviar,YOSEMITE,Travis Scott,150043,86,3.4e-06,../Data_Files/Song_Lyrics/rap_caviar/YOSEMITE|Travis Scott.txt
12,RapCaviar,W O R K I N M E,Quavo,169620,83,7.06e-06,../Data_Files/Song_Lyrics/rap_caviar/W O R K I N M E|Quavo.txt
13,RapCaviar,Nephew (feat. Lil Pump),Smokepurpp,202962,82,0,../Data_Files/Song_Lyrics/rap_caviar/Nephew (feat. Lil Pump)|Smokepurpp.txt
14,RapCaviar,Taking A Walk,Trippie Redd,121680,80,0,../Data_Files/Song_Lyrics/rap_caviar/Taking A Walk|Trippie Redd.txt
15,RapCaviar,Praise The Lord (Da Shine),A$AP Rocky,205040,90,0.0816,../Data_Files/Song_Lyrics/rap_caviar/Praise The Lord (Da Shine)|A$AP Rocky.txt
16,RapCaviar,Mob Ties,Drake,205146,74,0.00127,../Data_Files/Song_Lyrics/rap_caviar/Mob Ties|Drake.txt
17,RapCaviar,Lucid Dreams,Juice WRLD,239946,48,0,../Data_Files/Song_Lyrics/rap_caviar/Lucid Dreams|Juice WRLD.txt
18,RapCaviar,Champion (feat. Travis Scott),NAV,195053,82,0,../Data_Files/Song_Lyrics/rap_caviar/Champion (feat. Travis Scott)|NAV.txt
19,RapCaviar,Lost It (feat. Quavo & Offset),Rich The Kid,272152,62,1.5e-06,../Data_Files/Song_Lyrics/rap_caviar/Lost It (feat. Quavo & Offset)|Rich The Kid.txt
20,RapCaviar,No Rest,Lil Skies,135535,79,4.47e-06,../Data_Files/Song_Lyrics/rap_caviar/No Rest|Lil Skies.txt
21,RapCaviar,Shake It Up,Trippie Redd,116680,80,0,../Data_Files/Song_Lyrics/rap_caviar/Shake It Up|Trippie Redd.txt
22,RapCaviar,Taste (feat. Offset),Tyga,232959,95,0,../Data_Files/Song_Lyrics/rap_caviar/Taste (feat. Offset)|Tyga.txt
23,RapCaviar,Chanel (Go Get It) [feat. Gunna & Lil Baby],Young Thug,201706,80,0,../Data_Files/Song_Lyrics/rap_caviar/Chanel (Go Get It) [feat. Gunna & Lil Baby]|Young Thug.txt
24,RapCaviar,Noticed,Lil Mosey,165000,81,0,../Data_Files/Song_Lyrics/rap_caviar/Noticed|Lil Mosey.txt
25,RapCaviar,TAlk tO Me (with Rich The Kid),Tory Lanez,184489,79,0,../Data_Files/Song_Lyrics/rap_caviar/TAlk tO Me (with Rich The Kid)|Tory Lanez.txt
26,RapCaviar,Wasted (feat. Lil Uzi Vert),Juice WRLD,258475,83,0,../Data_Files/Song_Lyrics/rap_caviar/Wasted (feat. Lil Uzi Vert)|Juice WRLD.txt
27,RapCaviar,Ned Flanders (feat. A$AP Ferg),MadeinTYO,161013,80,0,../Data_Files/Song_Lyrics/rap_caviar/Ned Flanders (feat. A$AP Ferg)|MadeinTYO.txt
28,RapCaviar,Not Alike (feat. Royce Da 5'9),Eminem,288086,84,0,../Data_Files/Song_Lyrics/rap_caviar/Not Alike (feat. Royce Da 5'9)|Eminem.txt
29,RapCaviar,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,238373,75,0,"../Data_Files/Song_Lyrics/rap_caviar/Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj|YG.txt"
30,RapCaviar,The Flute Song,Russ,147600,75,0,../Data_Files/Song_Lyrics/rap_caviar/The Flute Song|Russ.txt
31,RapCaviar,Life Goes On,Lil Baby,247054,81,0,../Data_Files/Song_Lyrics/rap_caviar/Life Goes On|Lil Baby.txt
32,RapCaviar,Fr Fr (feat. Lil Skies),Wiz Khalifa,195590,80,2.63e-06,../Data_Files/Song_Lyrics/rap_caviar/Fr Fr (feat. Lil Skies)|Wiz Khalifa.txt
33,RapCaviar,Pull Up (feat. NAV),A Boogie Wit da Hoodie,193575,75,0,../Data_Files/Song_Lyrics/rap_caviar/Pull Up (feat. NAV)|A Boogie Wit da Hoodie.txt
34,RapCaviar,Head On (feat. Kevin Gates),YoungBoy Never Broke Again,117995,73,4.47e-06,../Data_Files/Song_Lyrics/rap_caviar/Head On (feat. Kevin Gates)|YoungBoy Never Broke Again.txt
35,RapCaviar,SWISH,Tyga,194935,87,0,../Data_Files/Song_Lyrics/rap_caviar/SWISH|Tyga.txt
36,RapCaviar,The Return,Logic,252133,77,0,../Data_Files/Song_Lyrics/rap_caviar/The Return|Logic.txt
37,RapCaviar,NaN,NaN,NaN,NaN,NaN,../Data_Files/Song_Lyrics/rap_caviar/NaN|NaN.txt
38,RapCaviar,NaN,NaN,NaN,NaN,0,../Data_Files/Song_Lyrics/rap_caviar/NaN|NaN.txt
