,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
0,Today's Top Hits,Happier,Marshmello,214289,89,0.0,../Data_Files/Song_Lyrics/today_top_hits/Happier|Marshmello.txt
1,Today's Top Hits,Eastside (with Halsey & Khalid),benny blanco,173799,95,0.0,../Data_Files/Song_Lyrics/today_top_hits/Eastside (with Halsey & Khalid)|benny blanco.txt
2,Today's Top Hits,Be Alright,Dean Lewis,196373,90,0.0,../Data_Files/Song_Lyrics/today_top_hits/Be Alright|Dean Lewis.txt
3,Today's Top Hits,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,163636,69,0.0,../Data_Files/Song_Lyrics/today_top_hits/Whenever (feat. Conor Maynard)|Kris Kross Amsterdam.txt
4,Today's Top Hits,Promises (with Sam Smith),Calvin Harris,213309,90,4.91e-06,../Data_Files/Song_Lyrics/today_top_hits/Promises (with Sam Smith)|Calvin Harris.txt
5,Today's Top Hits,breathin,Ariana Grande,198160,92,1.37e-05,../Data_Files/Song_Lyrics/today_top_hits/breathin|Ariana Grande.txt
6,Today's Top Hits,Natural,Imagine Dragons,189466,89,0.0,../Data_Files/Song_Lyrics/today_top_hits/Natural|Imagine Dragons.txt
7,Today's Top Hits,No Brainer,DJ Khaled,260000,95,0.0,../Data_Files/Song_Lyrics/today_top_hits/No Brainer|DJ Khaled.txt
8,Today's Top Hits,Lucky You (feat. Joyner Lucas),Eminem,244679,88,0.0,../Data_Files/Song_Lyrics/today_top_hits/Lucky You (feat. Joyner Lucas)|Eminem.txt
9,Today's Top Hits,Happy Now,Zedd,207029,91,1.49e-06,../Data_Files/Song_Lyrics/today_top_hits/Happy Now|Zedd.txt
10,Today's Top Hits,Beautiful (feat. Camila Cabello),Bazzi,180000,90,0.0,../Data_Files/Song_Lyrics/today_top_hits/Beautiful (feat. Camila Cabello)|Bazzi.txt
11,Today's Top Hits,"Thunderclouds with Sia, Diplo & Labrinth",Sia,187026,86,9.06e-06,"../Data_Files/Song_Lyrics/today_top_hits/Thunderclouds with Sia, Diplo & Labrinth|Sia.txt"
12,Today's Top Hits,In My Mind,Dynoro,184560,94,1.1e-05,../Data_Files/Song_Lyrics/today_top_hits/In My Mind|Dynoro.txt
